@,dd/mm/yy,hh:min:sec,V1(V),V2(V),V3(V),V12(V),V23(V),V31(V),FRQ1(Hz),FRQ2(Hz),FRQ3(Hz),I1(A),I2(A),I3(A),Isum(A),In(A),ILeak(A),P1(Kw),P2(Kw),P3(Kw),PT(Kw),Q1(Kvar),Q2(Kvar),Q3(Kvar),QT(Kvar),S1(Kva),S2(Kva),S3(Kva),ST(Kva),PF1,PF2,PF3,PFT,Angle1(Degree),Angle2(Degree),Angle3(Degree),%ILoad,%PLoad,EA1 Import (Kwh),EA2 Import (Kwh),EA3 Import(Kwh),EAT Import(Kwh),EA1 Export(Kwh),EA2 Export(Kwh),EA3 Export(Kwh),EAT Export(Kwh),EA1 Net(Kwh),EA2 Net(Kwh),EA3 Net(Kwh),EAT Net(Kwh),ER1 Ind(Kvarh),ER2 Ind(Kvarh),ER3 Ind(Kvarh),ERT Ind(Kvarh),ER1 Cap(Kvarh),ER2 Cap(Kvarh),ER3 Cap(Kvarh),ERT Cap(Kvarh),ER1 Net(Kvarh),ER2 Net(Kvarh),ER3 Net(Kvarh),ERT Net(Kvarh),EVA1 (Kvah),EVA2 (Kvah),EVA3 (Kvah),EVAT (Kvah),EON month(Kwh),EOFF month(Kwh),EHOL month(Kwh),EMonth(Kwh)
@,26/05/18,00:00:00,228.1,228.2,228.5,395.1,395.2,395.5,50.06,50.06,50.06,1.441,1.347,1.408,0.000,0.000,0.000,0.194,0.120,0.132,0.445,0.000,0.000,0.000,0.000,0.334,0.309,0.322,0.965,-0.588,-0.385,-0.431,0.462,2.7,20.7,12.2,1.4,0.4,693.035,662.661,674.940,2030.636,-0.126,0.000,-0.011,-0.137,692.909,662.661,674.929,2030.499,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.175,882.243,882.662,2651.080,1045.157,479.055,506.424,2030.636
@,26/05/18,00:01:00,228.0,228.1,228.3,394.9,395.1,395.3,49.96,49.96,49.95,1.435,1.327,1.362,0.000,0.000,0.000,0.194,0.120,0.136,0.449,0.000,0.000,0.000,0.000,0.326,0.301,0.309,0.936,-0.601,-0.412,-0.426,0.480,6.8,21.1,5.7,1.4,0.4,693.038,662.663,674.943,2030.644,-0.126,0.000,-0.011,-0.137,692.912,662.663,674.932,2030.507,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.181,882.248,882.668,2651.097,1045.157,479.055,506.432,2030.644
@,26/05/18,00:02:00,227.9,228.0,228.2,394.6,395.0,395.1,49.99,49.99,49.99,1.467,1.372,1.402,0.000,0.000,0.000,0.194,0.124,0.136,0.454,0.000,0.000,0.000,0.000,0.330,0.309,0.317,0.957,-0.600,-0.390,-0.422,0.474,1.9,0.0,338.4,1.4,0.5,693.041,662.665,674.945,2030.651,-0.126,0.000,-0.011,-0.137,692.915,662.665,674.934,2030.514,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.186,882.253,882.673,2651.112,1045.157,479.055,506.439,2030.651
@,26/05/18,00:03:00,228.1,228.2,228.4,395.1,395.2,395.5,50.04,50.04,50.04,1.466,1.383,1.417,0.000,0.000,0.000,0.194,0.124,0.140,0.458,0.000,0.000,0.000,0.000,0.330,0.313,0.326,0.969,-0.583,-0.394,-0.415,0.472,13.3,20.2,6.7,1.4,0.5,693.045,662.667,674.947,2030.659,-0.126,0.000,-0.011,-0.137,692.919,662.667,674.936,2030.522,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.192,882.258,882.678,2651.128,1045.157,479.055,506.447,2030.659
@,26/05/18,00:04:00,227.5,227.5,227.8,393.9,394.1,394.4,49.97,49.96,49.96,1.447,1.383,1.439,0.000,0.000,0.000,0.194,0.120,0.132,0.445,0.000,0.000,0.000,0.000,0.334,0.313,0.326,0.973,0.591,-0.392,-0.421,0.458,5.7,23.5,21.9,1.4,0.4,693.048,662.669,674.949,2030.666,-0.126,0.000,-0.011,-0.137,692.922,662.669,674.938,2030.529,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.197,882.264,882.684,2651.145,1045.157,479.055,506.454,2030.666
@,26/05/18,00:05:00,227.5,227.5,227.8,394.0,394.2,394.4,49.95,49.95,49.95,1.458,1.369,1.420,0.000,0.000,0.000,0.193,0.119,0.136,0.448,0.000,0.000,0.000,0.000,0.333,0.308,0.321,0.962,-0.592,-0.396,-0.423,0.466,5.5,23.4,337.7,1.4,0.4,693.051,662.671,674.952,2030.674,-0.126,0.000,-0.011,-0.137,692.925,662.671,674.941,2030.537,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.203,882.269,882.689,2651.161,1045.157,479.055,506.462,2030.674
@,26/05/18,00:06:00,227.7,227.7,228.0,394.2,394.5,394.8,49.97,49.96,49.97,1.472,1.389,1.457,0.000,0.000,0.000,0.194,0.120,0.136,0.449,0.000,0.000,0.000,0.000,0.338,0.317,0.326,0.981,-0.575,-0.389,-0.421,0.458,2.0,21.4,20.6,1.4,0.4,693.054,662.673,674.954,2030.681,-0.126,0.000,-0.011,-0.137,692.928,662.673,674.943,2030.544,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.208,882.274,882.695,2651.177,1045.157,479.055,506.469,2030.681
@,26/05/18,00:07:00,227.7,227.8,228.1,394.5,394.5,394.9,49.96,49.96,49.96,1.479,1.346,1.447,0.000,0.000,0.000,0.194,0.120,0.136,0.449,0.000,0.000,0.000,0.000,0.330,0.313,0.330,0.973,-0.588,-0.380,-0.419,0.462,3.3,21.1,9.7,1.4,0.4,693.058,662.675,674.956,2030.689,-0.126,0.000,-0.011,-0.137,692.932,662.675,674.945,2030.552,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.214,882.279,882.700,2651.193,1045.157,479.055,506.477,2030.689
@,26/05/18,00:08:00,227.0,227.1,227.3,393.1,393.3,393.5,49.96,49.96,49.96,1.489,1.450,1.472,0.000,0.000,0.000,0.194,0.124,0.136,0.454,0.000,0.000,0.000,0.000,0.342,0.326,0.334,1.002,-0.565,-0.376,-0.413,0.453,6.3,21.9,14.6,1.5,0.5,693.061,662.677,674.959,2030.697,-0.126,0.000,-0.011,-0.137,692.935,662.677,674.948,2030.560,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.220,882.284,882.705,2651.209,1045.157,479.055,506.485,2030.697
@,26/05/18,00:09:00,227.2,227.3,227.5,393.5,393.7,393.8,49.96,49.96,49.96,1.519,1.385,1.484,0.000,0.000,0.000,0.198,0.120,0.136,0.454,0.000,0.000,0.000,0.000,0.346,0.318,0.338,1.002,-0.571,-0.384,-0.407,0.453,0.2,20.6,7.9,1.5,0.5,693.064,662.679,674.961,2030.704,-0.126,0.000,-0.011,-0.137,692.938,662.679,674.950,2030.567,476.353,500.935,475.311,1452.599,-0.016,0.000,-0.445,-0.461,476.369,500.935,475.756,1453.060,886.225,882.290,882.711,2651.226,1045.157,479.055,506.492,2030.704
