@,dd/mm/yy,hh:min:sec,V1(V),V2(V),V3(V),V12(V),V23(V),V31(V),FRQ1(Hz),FRQ2(Hz),FRQ3(Hz),I1(A),I2(A),I3(A),Isum(A),In(A),ILeak(A),P1(Kw),P2(Kw),P3(Kw),PT(Kw),Q1(Kvar),Q2(Kvar),Q3(Kvar),QT(Kvar),S1(Kva),S2(Kva),S3(Kva),ST(Kva),PF1,PF2,PF3,PFT,Angle1(Degree),Angle2(Degree),Angle3(Degree),%ILoad,%PLoad,EA1 Import (Kwh),EA2 Import (Kwh),EA3 Import(Kwh),EAT Import(Kwh),EA1 Export(Kwh),EA2 Export(Kwh),EA3 Export(Kwh),EAT Export(Kwh),EA1 Net(Kwh),EA2 Net(Kwh),EA3 Net(Kwh),EAT Net(Kwh),ER1 Ind(Kvarh),ER2 Ind(Kvarh),ER3 Ind(Kvarh),ERT Ind(Kvarh),ER1 Cap(Kvarh),ER2 Cap(Kvarh),ER3 Cap(Kvarh),ERT Cap(Kvarh),ER1 Net(Kvarh),ER2 Net(Kvarh),ER3 Net(Kvarh),ERT Net(Kvarh),EVA1 (Kvah),EVA2 (Kvah),EVA3 (Kvah),EVAT (Kvah),EON month(Kwh),EOFF month(Kwh),EHOL month(Kwh),EMonth(Kwh)
@,14/06/18,00:00:00,229.3,229.5,229.6,397.4,397.2,397.4,50.04,50.04,50.04,1.346,0.990,1.409,0.000,0.000,0.000,0.186,0.000,0.144,0.330,0.000,0.000,0.000,0.000,0.305,0.223,0.322,0.849,0.598,1.000,-0.443,0.388,8.7,7.5,354.8,1.2,0.3,73.018,69.114,70.409,212.541,0.000,0.000,0.000,0.000,73.018,69.114,70.409,212.541,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.383,91.821,92.113,277.317,157.994,54.547,0.000,212.541
@,14/06/18,00:01:00,229.2,229.4,229.5,397.3,397.1,397.6,50.03,50.03,50.03,1.453,0.951,1.572,0.000,0.000,0.000,0.185,0.000,0.148,0.333,0.000,0.000,0.000,0.000,0.329,0.222,0.353,0.904,0.569,1.000,-0.431,0.368,8.1,190.1,19.0,1.3,0.3,73.021,69.115,70.412,212.548,0.000,0.000,0.000,0.000,73.021,69.115,70.412,212.548,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.388,91.825,92.118,277.331,157.994,54.554,0.000,212.548
@,14/06/18,00:02:00,228.9,229.2,229.3,396.8,396.9,396.8,49.96,49.96,49.96,1.423,0.897,1.538,0.000,0.000,0.000,0.181,0.000,0.157,0.338,0.000,0.000,0.000,0.000,0.330,0.206,0.355,0.891,0.550,1.000,-0.433,0.380,8.3,325.1,0.8,1.3,0.3,73.024,69.117,70.414,212.555,0.000,0.000,0.000,0.000,73.024,69.117,70.414,212.555,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.393,91.829,92.124,277.346,157.994,54.561,0.000,212.555
@,14/06/18,00:03:00,228.2,228.4,228.5,395.7,395.3,395.6,49.99,49.99,49.99,1.345,0.922,1.431,0.000,0.000,0.000,0.177,0.000,0.148,0.326,0.000,0.000,0.000,0.000,0.305,0.210,0.330,0.845,0.580,1.000,-0.449,0.385,8.5,329.6,12.9,1.2,0.3,73.027,69.118,70.417,212.562,0.000,0.000,0.000,0.000,73.027,69.118,70.417,212.562,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.399,91.832,92.129,277.360,157.994,54.568,0.000,212.562
@,14/06/18,00:04:00,228.9,229.1,229.2,396.6,396.7,396.8,50.01,50.00,50.00,1.397,0.938,1.480,0.000,0.000,0.000,0.182,0.000,0.149,0.331,0.000,0.000,0.000,0.000,0.319,0.215,0.343,0.877,0.583,1.000,-0.444,0.377,7.5,5.7,6.3,1.3,0.3,73.030,69.119,70.419,212.568,0.000,0.000,0.000,0.000,73.030,69.119,70.419,212.568,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.404,91.836,92.135,277.375,157.994,54.574,0.000,212.568
@,14/06/18,00:05:00,229.0,229.2,229.3,397.0,396.7,397.1,50.02,50.01,50.01,1.374,0.927,1.459,0.000,0.000,0.000,0.181,0.000,0.144,0.326,0.000,0.000,0.000,0.000,0.313,0.219,0.334,0.866,0.577,1.000,-0.435,0.376,7.5,304.2,10.1,1.3,0.3,73.033,69.121,70.422,212.576,0.000,0.000,0.000,0.000,73.033,69.121,70.422,212.576,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.409,91.839,92.141,277.389,157.994,54.582,0.000,212.576
@,14/06/18,00:06:00,230.4,230.6,230.7,399.3,399.0,399.5,50.03,50.02,50.02,1.403,1.014,1.462,0.000,0.000,0.000,0.186,0.000,0.140,0.326,0.000,0.000,0.000,0.000,0.322,0.235,0.338,0.895,0.582,1.000,-0.414,0.364,4.2,18.6,5.3,1.3,0.3,73.036,69.122,70.424,212.582,0.000,0.000,0.000,0.000,73.036,69.122,70.424,212.582,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.414,91.843,92.146,277.403,157.994,54.588,0.000,212.582
@,14/06/18,00:07:00,230.5,230.7,230.8,399.5,399.3,399.8,50.03,50.04,50.04,1.381,0.941,1.497,0.000,0.000,0.000,0.186,0.000,0.153,0.338,0.000,0.000,0.000,0.000,0.322,0.219,0.346,0.887,0.574,1.000,-0.424,0.381,4.0,167.3,346.5,1.3,0.3,73.039,69.123,70.427,212.589,0.000,0.000,0.000,0.000,73.039,69.123,70.427,212.589,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.420,91.847,92.152,277.419,157.994,54.595,0.000,212.589
@,14/06/18,00:08:00,231.1,231.3,231.4,400.6,400.5,400.6,50.03,50.04,50.04,1.396,0.961,1.528,0.000,0.000,0.000,0.181,0.000,0.148,0.330,0.000,0.000,0.000,0.000,0.326,0.223,0.351,0.899,0.574,1.000,-0.432,0.367,1.7,15.4,344.1,1.3,0.3,73.042,69.125,70.429,212.596,0.000,0.000,0.000,0.000,73.042,69.125,70.429,212.596,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.425,91.850,92.158,277.433,157.994,54.602,0.000,212.596
@,14/06/18,00:09:00,228.4,228.5,228.7,395.7,395.6,396.0,50.03,50.04,50.04,1.390,1.025,1.475,0.000,0.000,0.000,0.181,0.000,0.144,0.326,0.000,0.000,0.000,0.000,0.317,0.231,0.338,0.886,0.575,1.000,-0.429,0.367,4.2,356.6,9.6,1.3,0.3,73.045,69.126,70.432,212.603,0.000,0.000,0.000,0.000,73.045,69.126,70.432,212.603,49.369,50.895,48.438,148.702,0.000,0.000,0.000,0.000,49.369,50.895,48.438,148.702,93.431,91.854,92.164,277.449,157.994,54.609,0.000,212.603
