@,dd/mm/yy,hh:min:sec,V1(V),V2(V),V3(V),V12(V),V23(V),V31(V),FRQ1(Hz),FRQ2(Hz),FRQ3(Hz),I1(A),I2(A),I3(A),Isum(A),In(A),ILeak(A),P1(Kw),P2(Kw),P3(Kw),PT(Kw),Q1(Kvar),Q2(Kvar),Q3(Kvar),QT(Kvar),S1(Kva),S2(Kva),S3(Kva),ST(Kva),PF1,PF2,PF3,PFT,Angle1(Degree),Angle2(Degree),Angle3(Degree),%ILoad,%PLoad,EA1 Import (Kwh),EA2 Import (Kwh),EA3 Import(Kwh),EAT Import(Kwh),EA1 Export(Kwh),EA2 Export(Kwh),EA3 Export(Kwh),EAT Export(Kwh),EA1 Net(Kwh),EA2 Net(Kwh),EA3 Net(Kwh),EAT Net(Kwh),ER1 Ind(Kvarh),ER2 Ind(Kvarh),ER3 Ind(Kvarh),ERT Ind(Kvarh),ER1 Cap(Kvarh),ER2 Cap(Kvarh),ER3 Cap(Kvarh),ERT Cap(Kvarh),ER1 Net(Kvarh),ER2 Net(Kvarh),ER3 Net(Kvarh),ERT Net(Kvarh),EVA1 (Kvah),EVA2 (Kvah),EVA3 (Kvah),EVAT (Kvah),EON month(Kwh),EOFF month(Kwh),EHOL month(Kwh),EMonth(Kwh)
@,29/05/18,00:00:00,227.2,227.3,227.4,393.6,393.6,393.8,49.99,49.98,49.98,1.486,1.360,1.389,0.000,0.000,0.000,0.202,0.136,0.144,0.482,0.000,0.000,0.000,0.000,0.334,0.305,0.318,0.957,-0.611,-0.435,-0.456,0.504,3.3,16.9,8.6,1.4,0.5,747.070,712.076,724.894,2184.040,-0.126,0.000,-0.011,-0.137,746.944,712.076,724.883,2183.903,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.923,952.962,952.912,2863.797,1087.393,494.321,602.326,2184.040
@,29/05/18,00:01:00,227.6,227.7,227.8,394.3,394.3,394.5,49.99,49.99,49.99,1.454,1.359,1.385,0.000,0.000,0.000,0.206,0.136,0.144,0.486,0.000,0.000,0.000,0.000,0.334,0.309,0.317,0.961,-0.611,-0.427,-0.454,0.506,6.3,20.0,18.4,1.4,0.5,747.074,712.078,724.896,2184.048,-0.126,0.000,-0.011,-0.137,746.948,712.078,724.885,2183.911,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.929,952.967,952.917,2863.813,1087.393,494.329,602.326,2184.048
@,29/05/18,00:02:00,226.8,226.9,227.1,393.0,392.8,393.2,50.02,50.01,50.02,1.465,1.376,1.408,0.000,0.000,0.000,0.206,0.136,0.144,0.487,0.000,0.000,0.000,0.000,0.334,0.309,0.318,0.961,-0.611,-0.442,-0.468,0.506,12.5,18.1,357.6,1.4,0.5,747.077,712.080,724.899,2184.056,-0.126,0.000,-0.011,-0.137,746.951,712.080,724.888,2183.919,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.935,952.973,952.923,2863.831,1087.393,494.337,602.326,2184.056
@,29/05/18,00:03:00,227.2,227.3,227.4,393.6,393.6,393.7,49.98,49.98,49.98,1.471,1.373,1.398,0.000,0.000,0.000,0.201,0.136,0.144,0.481,0.000,0.000,0.000,0.000,0.333,0.312,0.316,0.962,-0.611,-0.430,-0.454,0.500,5.2,11.0,19.7,1.4,0.5,747.081,712.082,724.901,2184.064,-0.126,0.000,-0.011,-0.137,746.955,712.082,724.890,2183.927,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.940,952.978,952.928,2863.846,1087.393,494.345,602.326,2184.064
@,29/05/18,00:04:00,227.3,227.4,227.5,393.8,393.7,394.0,50.00,50.00,50.00,1.474,1.361,1.379,0.000,0.000,0.000,0.202,0.136,0.144,0.482,0.000,0.000,0.000,0.000,0.334,0.313,0.313,0.961,-0.616,-0.432,-0.460,0.502,1.8,338.7,4.1,1.4,0.5,747.084,712.084,724.904,2184.072,-0.126,0.000,-0.011,-0.137,746.958,712.084,724.893,2183.935,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.946,952.983,952.933,2863.862,1087.393,494.353,602.326,2184.072
@,29/05/18,00:05:00,227.9,227.9,228.0,394.8,394.5,394.9,49.99,49.98,49.98,1.497,1.377,1.413,0.000,0.000,0.000,0.202,0.136,0.144,0.482,0.000,0.000,0.000,0.000,0.338,0.318,0.322,0.977,-0.602,-0.443,-0.451,0.494,2.7,11.0,4.7,1.4,0.5,747.087,712.087,724.906,2184.080,-0.126,0.000,-0.011,-0.137,746.961,712.087,724.895,2183.943,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.951,952.988,952.938,2863.877,1087.393,494.361,602.326,2184.080
@,29/05/18,00:06:00,227.8,227.9,228.0,394.7,394.6,394.9,50.00,50.01,50.00,1.475,1.400,1.405,0.000,0.000,0.000,0.206,0.136,0.144,0.486,0.000,0.000,0.000,0.000,0.334,0.313,0.317,0.965,-0.618,-0.437,-0.455,0.504,3.6,18.1,354.0,1.4,0.5,747.091,712.089,724.908,2184.088,-0.126,0.000,-0.011,-0.137,746.965,712.089,724.897,2183.951,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.957,952.993,952.944,2863.894,1087.393,494.369,602.326,2184.088
@,29/05/18,00:07:00,227.7,227.8,227.9,394.5,394.2,394.7,50.00,50.01,50.00,1.507,1.376,1.413,0.000,0.000,0.000,0.202,0.136,0.148,0.487,0.000,0.000,0.000,0.000,0.338,0.318,0.318,0.973,-0.604,-0.425,-0.456,0.500,3.9,17.8,5.6,1.4,0.5,747.094,712.091,724.911,2184.096,-0.126,0.000,-0.011,-0.137,746.968,712.091,724.900,2183.959,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.963,952.998,952.949,2863.910,1087.393,494.377,602.326,2184.096
@,29/05/18,00:08:00,228.0,228.1,228.2,394.9,394.8,395.2,50.00,50.00,49.99,1.467,1.369,1.381,0.000,0.000,0.000,0.206,0.136,0.144,0.486,0.000,0.000,0.000,0.000,0.338,0.317,0.317,0.973,-0.611,-0.432,-0.446,0.500,7.8,17.2,17.3,1.4,0.5,747.098,712.094,724.913,2184.105,-0.126,0.000,-0.011,-0.137,746.972,712.094,724.902,2183.968,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.968,953.004,952.954,2863.926,1087.393,494.386,602.326,2184.105
@,29/05/18,00:09:00,228.6,228.6,228.8,396.0,396.0,395.9,49.98,49.98,49.98,1.503,1.366,1.390,0.000,0.000,0.000,0.206,0.136,0.144,0.487,0.000,0.000,0.000,0.000,0.342,0.318,0.322,0.981,-0.609,-0.439,-0.451,0.496,0.9,19.3,20.5,1.4,0.5,747.101,712.096,724.916,2184.113,-0.126,0.000,-0.011,-0.137,746.975,712.096,724.905,2183.976,508.101,534.582,506.991,1549.674,-0.016,0.000,-0.445,-0.461,508.117,534.582,507.436,1550.135,957.974,953.009,952.959,2863.942,1087.393,494.394,602.326,2184.113
