@,dd/mm/yy,hh:min:sec,V1(V),V2(V),V3(V),V12(V),V23(V),V31(V),FRQ1(Hz),FRQ2(Hz),FRQ3(Hz),I1(A),I2(A),I3(A),Isum(A),In(A),ILeak(A),P1(Kw),P2(Kw),P3(Kw),PT(Kw),Q1(Kvar),Q2(Kvar),Q3(Kvar),QT(Kvar),S1(Kva),S2(Kva),S3(Kva),ST(Kva),PF1,PF2,PF3,PFT,Angle1(Degree),Angle2(Degree),Angle3(Degree),%ILoad,%PLoad,EA1 Import (Kwh),EA2 Import (Kwh),EA3 Import(Kwh),EAT Import(Kwh),EA1 Export(Kwh),EA2 Export(Kwh),EA3 Export(Kwh),EAT Export(Kwh),EA1 Net(Kwh),EA2 Net(Kwh),EA3 Net(Kwh),EAT Net(Kwh),ER1 Ind(Kvarh),ER2 Ind(Kvarh),ER3 Ind(Kvarh),ERT Ind(Kvarh),ER1 Cap(Kvarh),ER2 Cap(Kvarh),ER3 Cap(Kvarh),ERT Cap(Kvarh),ER1 Net(Kvarh),ER2 Net(Kvarh),ER3 Net(Kvarh),ERT Net(Kvarh),EVA1 (Kvah),EVA2 (Kvah),EVA3 (Kvah),EVAT (Kvah),EON month(Kwh),EOFF month(Kwh),EHOL month(Kwh),EMonth(Kwh)
@,28/05/18,00:00:00,224.8,225.3,225.3,389.7,390.3,389.7,49.97,49.96,49.97,12.187,12.435,11.965,0.000,0.000,0.000,2.144,2.119,2.070,6.333,1.676,1.803,1.687,5.166,2.738,2.799,2.692,8.229,0.784,0.758,0.770,0.770,36.8,37.8,37.7,12.2,6.3,726.913,693.462,706.165,2126.540,-0.126,0.000,-0.011,-0.137,726.787,693.462,706.154,2126.403,495.880,521.672,494.862,1512.414,-0.016,0.000,-0.445,-0.461,495.896,521.672,495.307,1512.875,931.570,926.929,927.251,2785.750,1045.157,479.057,602.326,2126.540
@,28/05/18,00:01:00,225.3,225.7,225.7,390.4,390.9,390.7,50.02,50.01,50.02,1.524,1.434,1.471,0.000,0.000,0.000,0.202,0.136,0.148,0.486,0.000,0.000,0.000,0.000,0.342,0.326,0.330,0.998,-0.588,-0.417,-0.444,0.488,3.8,20.0,8.7,1.5,0.5,726.946,693.494,706.197,2126.637,-0.126,0.000,-0.011,-0.137,726.820,693.494,706.186,2126.500,495.905,521.699,494.887,1512.491,-0.016,0.000,-0.445,-0.461,495.921,521.699,495.332,1512.952,931.612,926.972,927.292,2785.876,1045.157,479.154,602.326,2126.637
@,28/05/18,00:02:00,225.9,226.4,226.3,391.7,392.1,391.7,50.04,50.04,50.04,1.506,1.423,1.460,0.000,0.000,0.000,0.202,0.140,0.148,0.491,0.000,0.000,0.000,0.000,0.342,0.326,0.334,1.002,-0.590,-0.417,-0.442,0.490,0.9,19.1,11.3,1.5,0.5,726.949,693.497,706.199,2126.645,-0.126,0.000,-0.011,-0.137,726.823,693.497,706.188,2126.508,495.905,521.699,494.887,1512.491,-0.016,0.000,-0.445,-0.461,495.921,521.699,495.332,1512.952,931.618,926.977,927.298,2785.893,1045.157,479.162,602.326,2126.645
@,28/05/18,00:03:00,225.4,225.8,225.7,390.6,391.0,390.7,49.98,49.97,49.97,1.517,1.422,1.435,0.000,0.000,0.000,0.206,0.140,0.144,0.491,0.000,0.000,0.000,0.000,0.342,0.318,0.326,0.986,-0.594,-0.438,-0.455,0.498,5.1,0.4,8.2,1.5,0.5,726.953,693.499,706.202,2126.654,-0.126,0.000,-0.011,-0.137,726.827,693.499,706.191,2126.517,495.905,521.699,494.887,1512.491,-0.016,0.000,-0.445,-0.461,495.921,521.699,495.332,1512.952,931.623,926.982,927.303,2785.908,1045.157,479.171,602.326,2126.654
@,28/05/18,00:04:00,226.0,226.4,226.4,391.7,392.1,391.6,50.05,50.05,50.05,1.543,1.431,1.478,0.000,0.000,0.000,0.202,0.136,0.148,0.486,0.000,0.000,0.000,0.000,0.346,0.326,0.334,1.006,-0.593,-0.428,-0.451,0.484,1.5,335.3,8.6,1.5,0.5,726.956,693.501,706.204,2126.661,-0.126,0.000,-0.011,-0.137,726.830,693.501,706.193,2126.524,495.905,521.699,494.887,1512.491,-0.016,0.000,-0.445,-0.461,495.921,521.699,495.332,1512.952,931.629,926.988,927.309,2785.926,1045.157,479.178,602.326,2126.661
@,28/05/18,00:05:00,225.9,226.4,226.3,391.6,392.1,391.6,50.00,50.00,50.00,1.517,1.384,1.452,0.000,0.000,0.000,0.206,0.140,0.148,0.495,0.000,0.000,0.000,0.000,0.342,0.318,0.330,0.990,-0.593,-0.442,-0.445,0.500,10.1,0.2,6.4,1.5,0.5,726.959,693.504,706.207,2126.670,-0.126,0.000,-0.011,-0.137,726.833,693.504,706.196,2126.533,495.905,521.699,494.887,1512.491,-0.016,0.000,-0.445,-0.461,495.921,521.699,495.332,1512.952,931.635,926.993,927.314,2785.942,1045.157,479.187,602.326,2126.670
@,28/05/18,00:06:00,225.8,226.3,226.2,391.3,392.0,391.4,50.02,50.02,50.03,1.515,1.447,1.445,0.000,0.000,0.000,0.202,0.140,0.144,0.486,0.000,0.000,0.000,0.000,0.342,0.326,0.330,0.998,-0.593,-0.434,-0.450,0.488,358.8,10.8,7.8,1.5,0.5,726.963,693.506,706.209,2126.678,-0.126,0.000,-0.011,-0.137,726.837,693.506,706.198,2126.541,495.905,521.699,494.887,1512.491,-0.016,0.000,-0.445,-0.461,495.921,521.699,495.332,1512.952,931.640,926.998,927.320,2785.958,1045.157,479.195,602.326,2126.678
@,28/05/18,00:07:00,225.9,226.3,226.3,391.3,392.0,391.6,50.02,50.03,50.03,1.532,1.413,1.462,0.000,0.000,0.000,0.206,0.136,0.148,0.491,0.000,0.000,0.000,0.000,0.346,0.326,0.330,1.002,-0.591,-0.427,-0.441,0.490,2.5,18.0,12.3,1.5,0.5,726.966,693.508,706.212,2126.686,-0.126,0.000,-0.011,-0.137,726.840,693.508,706.201,2126.549,495.905,521.699,494.887,1512.491,-0.016,0.000,-0.445,-0.461,495.921,521.699,495.332,1512.952,931.646,927.004,927.325,2785.975,1045.157,479.203,602.326,2126.686
@,28/05/18,00:08:00,225.4,225.8,225.8,390.8,391.1,390.7,49.93,49.93,49.93,12.374,12.629,12.109,0.000,0.000,0.000,2.193,2.164,2.107,6.465,1.696,1.828,1.704,5.228,2.787,2.853,2.729,8.369,0.788,0.760,0.773,0.772,36.7,38.8,37.2,12.4,6.5,726.973,693.514,706.218,2126.705,-0.126,0.000,-0.011,-0.137,726.847,693.514,706.207,2126.568,495.909,521.703,494.890,1512.502,-0.016,0.000,-0.445,-0.461,495.925,521.703,495.335,1512.963,931.657,927.014,927.335,2786.006,1045.157,479.222,602.326,2126.705
@,28/05/18,00:09:00,226.2,226.7,226.6,392.1,392.5,392.3,50.05,50.05,50.05,1.530,1.432,1.462,0.000,0.000,0.000,0.202,0.144,0.148,0.495,0.000,0.000,0.000,0.000,0.342,0.322,0.330,0.994,-0.598,-0.439,-0.445,0.498,3.9,10.6,3.9,1.5,0.5,727.000,693.540,706.243,2126.783,-0.126,0.000,-0.011,-0.137,726.874,693.540,706.232,2126.646,495.929,521.725,494.911,1512.565,-0.016,0.000,-0.445,-0.461,495.945,521.725,495.356,1513.026,931.691,927.050,927.369,2786.110,1045.157,479.300,602.326,2126.783
