@,dd/mm/yy,hh:min:sec,V1(V),V2(V),V3(V),V12(V),V23(V),V31(V),FRQ1(Hz),FRQ2(Hz),FRQ3(Hz),I1(A),I2(A),I3(A),Isum(A),In(A),ILeak(A),P1(Kw),P2(Kw),P3(Kw),PT(Kw),Q1(Kvar),Q2(Kvar),Q3(Kvar),QT(Kvar),S1(Kva),S2(Kva),S3(Kva),ST(Kva),PF1,PF2,PF3,PFT,Angle1(Degree),Angle2(Degree),Angle3(Degree),%ILoad,%PLoad,EA1 Import (Kwh),EA2 Import (Kwh),EA3 Import(Kwh),EAT Import(Kwh),EA1 Export(Kwh),EA2 Export(Kwh),EA3 Export(Kwh),EAT Export(Kwh),EA1 Net(Kwh),EA2 Net(Kwh),EA3 Net(Kwh),EAT Net(Kwh),ER1 Ind(Kvarh),ER2 Ind(Kvarh),ER3 Ind(Kvarh),ERT Ind(Kvarh),ER1 Cap(Kvarh),ER2 Cap(Kvarh),ER3 Cap(Kvarh),ERT Cap(Kvarh),ER1 Net(Kvarh),ER2 Net(Kvarh),ER3 Net(Kvarh),ERT Net(Kvarh),EVA1 (Kvah),EVA2 (Kvah),EVA3 (Kvah),EVAT (Kvah),EON month(Kwh),EOFF month(Kwh),EHOL month(Kwh),EMonth(Kwh)
@,30/05/18,00:00:00,226.3,226.6,226.7,392.2,392.5,392.3,49.96,49.96,49.95,1.340,1.249,1.306,0.000,0.000,0.000,0.190,0.128,0.140,0.458,0.000,0.000,0.000,0.000,0.301,0.284,0.301,0.886,-0.639,-0.431,-0.459,0.516,12.2,18.5,2.4,1.3,0.5,769.158,732.609,745.303,2247.070,-0.126,0.000,-0.011,-0.137,769.032,732.609,745.292,2246.933,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.617,981.464,980.654,2948.735,1132.991,511.753,602.326,2247.070
@,30/05/18,00:01:00,226.6,226.9,227.0,392.7,393.0,392.8,50.02,50.01,50.01,1.358,1.272,1.314,0.000,0.000,0.000,0.189,0.131,0.140,0.460,0.000,0.000,0.000,0.000,0.312,0.288,0.300,0.900,-0.626,-0.435,-0.466,0.511,5.7,3.9,19.8,1.3,0.5,769.161,732.611,745.305,2247.077,-0.126,0.000,-0.011,-0.137,769.035,732.611,745.294,2246.940,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.623,981.469,980.659,2948.751,1132.991,511.760,602.326,2247.077
@,30/05/18,00:02:00,227.1,227.4,227.5,393.6,393.9,393.8,50.05,50.05,50.05,1.367,1.285,1.335,0.000,0.000,0.000,0.194,0.128,0.140,0.462,0.000,0.000,0.000,0.000,0.313,0.293,0.305,0.911,-0.623,-0.438,-0.462,0.507,5.8,18.5,345.8,1.3,0.5,769.164,732.613,745.308,2247.085,-0.126,0.000,-0.011,-0.137,769.038,732.613,745.297,2246.948,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.628,981.474,980.664,2948.766,1132.991,511.768,602.326,2247.085
@,30/05/18,00:03:00,226.4,226.7,226.8,392.4,392.7,392.4,49.96,49.97,49.97,1.351,1.276,1.337,0.000,0.000,0.000,0.194,0.128,0.140,0.462,0.000,0.000,0.000,0.000,0.309,0.293,0.305,0.907,-0.627,-0.431,-0.470,0.509,5.0,17.6,2.8,1.3,0.5,769.167,732.615,745.310,2247.092,-0.126,0.000,-0.011,-0.137,769.041,732.615,745.299,2246.955,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.633,981.479,980.669,2948.781,1132.991,511.775,602.326,2247.092
@,30/05/18,00:04:00,226.0,226.3,226.4,391.8,392.1,391.7,49.94,49.94,49.95,1.384,1.317,1.346,0.000,0.000,0.000,0.194,0.128,0.140,0.462,0.000,0.000,0.000,0.000,0.313,0.297,0.305,0.915,-0.618,-0.439,-0.460,0.505,2.4,19.3,347.2,1.3,0.5,769.171,732.617,745.312,2247.100,-0.126,0.000,-0.011,-0.137,769.045,732.617,745.301,2246.963,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.638,981.484,980.674,2948.796,1132.991,511.783,602.326,2247.100
@,30/05/18,00:05:00,226.4,226.7,226.8,392.5,392.5,392.5,49.99,49.98,49.99,1.358,1.300,1.332,0.000,0.000,0.000,0.194,0.128,0.140,0.462,0.000,0.000,0.000,0.000,0.309,0.297,0.301,0.907,-0.625,-0.441,-0.464,0.509,9.6,18.3,17.4,1.3,0.5,769.174,732.620,745.315,2247.109,-0.126,0.000,-0.011,-0.137,769.048,732.620,745.304,2246.972,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.644,981.489,980.679,2948.812,1132.991,511.792,602.326,2247.109
@,30/05/18,00:06:00,225.9,226.2,226.3,391.4,391.7,391.6,49.92,49.92,49.92,1.410,1.295,1.354,0.000,0.000,0.000,0.198,0.128,0.140,0.466,0.000,0.000,0.000,0.000,0.318,0.297,0.309,0.924,-0.613,-0.436,-0.457,0.504,4.0,18.1,359.5,1.4,0.5,769.177,732.622,745.317,2247.116,-0.126,0.000,-0.011,-0.137,769.051,732.622,745.306,2246.979,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.649,981.494,980.684,2948.827,1132.991,511.799,602.326,2247.116
@,30/05/18,00:07:00,226.4,226.8,226.9,392.4,392.6,392.7,49.96,49.96,49.96,1.409,1.329,1.363,0.000,0.000,0.000,0.194,0.128,0.140,0.462,0.000,0.000,0.000,0.000,0.317,0.301,0.309,0.928,-0.624,-0.443,-0.457,0.498,2.5,3.4,359.4,1.4,0.5,769.180,732.624,745.319,2247.123,-0.126,0.000,-0.011,-0.137,769.054,732.624,745.308,2246.986,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.654,981.499,980.689,2948.842,1132.991,511.806,602.326,2247.123
@,30/05/18,00:08:00,226.7,227.1,227.1,392.8,393.3,393.2,49.93,49.94,49.93,1.402,1.293,1.361,0.000,0.000,0.000,0.194,0.128,0.140,0.462,0.000,0.000,0.000,0.000,0.318,0.297,0.309,0.924,-0.615,-0.432,-0.463,0.500,6.3,355.3,14.7,1.4,0.5,769.184,732.626,745.322,2247.132,-0.126,0.000,-0.011,-0.137,769.058,732.626,745.311,2246.995,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.659,981.503,980.694,2948.856,1132.991,511.815,602.326,2247.132
@,30/05/18,00:09:00,227.1,227.4,227.5,393.4,393.8,393.6,49.94,49.94,49.94,1.384,1.283,1.335,0.000,0.000,0.000,0.198,0.128,0.140,0.466,0.000,0.000,0.000,0.000,0.313,0.289,0.301,0.903,-0.633,-0.438,-0.467,0.516,2.0,13.1,355.8,1.3,0.5,769.187,732.628,745.324,2247.139,-0.126,0.000,-0.011,-0.137,769.061,732.628,745.313,2247.002,521.838,549.260,520.602,1591.700,-0.016,0.000,-0.445,-0.461,521.854,549.260,521.047,1592.161,986.665,981.508,980.699,2948.872,1132.991,511.822,602.326,2247.139
