@,dd/mm/yy,hh:min:sec,V1(V),V2(V),V3(V),V12(V),V23(V),V31(V),FRQ1(Hz),FRQ2(Hz),FRQ3(Hz),I1(A),I2(A),I3(A),Isum(A),In(A),ILeak(A),P1(Kw),P2(Kw),P3(Kw),PT(Kw),Q1(Kvar),Q2(Kvar),Q3(Kvar),QT(Kvar),S1(Kva),S2(Kva),S3(Kva),ST(Kva),PF1,PF2,PF3,PFT,Angle1(Degree),Angle2(Degree),Angle3(Degree),%ILoad,%PLoad,EA1 Import (Kwh),EA2 Import (Kwh),EA3 Import(Kwh),EAT Import(Kwh),EA1 Export(Kwh),EA2 Export(Kwh),EA3 Export(Kwh),EAT Export(Kwh),EA1 Net(Kwh),EA2 Net(Kwh),EA3 Net(Kwh),EAT Net(Kwh),ER1 Ind(Kvarh),ER2 Ind(Kvarh),ER3 Ind(Kvarh),ERT Ind(Kvarh),ER1 Cap(Kvarh),ER2 Cap(Kvarh),ER3 Cap(Kvarh),ERT Cap(Kvarh),ER1 Net(Kvarh),ER2 Net(Kvarh),ER3 Net(Kvarh),ERT Net(Kvarh),EVA1 (Kvah),EVA2 (Kvah),EVA3 (Kvah),EVAT (Kvah),EON month(Kwh),EOFF month(Kwh),EHOL month(Kwh),EMonth(Kwh)
@,27/05/18,00:00:00,224.2,224.5,224.3,388.7,388.6,388.3,50.00,50.00,50.00,1.518,1.499,1.501,0.000,0.000,0.000,0.206,0.128,0.144,0.478,0.000,0.000,0.000,0.000,0.338,0.334,0.334,1.006,-0.620,-0.389,-0.426,0.475,3.0,4.1,0.4,1.5,0.5,708.585,676.460,689.160,2074.205,-0.126,0.000,-0.011,-0.137,708.459,676.460,689.149,2074.068,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.345,902.660,903.334,2713.339,1045.157,479.055,549.993,2074.205
@,27/05/18,00:01:00,224.6,224.9,224.6,389.5,388.9,389.1,50.02,50.01,50.01,1.665,1.608,1.655,0.000,0.000,0.000,0.206,0.132,0.148,0.486,0.000,0.000,0.000,0.000,0.367,0.363,0.363,1.093,-0.576,-0.353,-0.405,0.445,9.4,22.9,18.1,1.6,0.5,708.589,676.462,689.162,2074.213,-0.126,0.000,-0.011,-0.137,708.463,676.462,689.151,2074.076,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.351,902.665,903.340,2713.356,1045.157,479.055,550.001,2074.213
@,27/05/18,00:02:00,224.6,224.8,224.6,389.2,389.0,389.0,49.96,49.96,49.95,1.502,1.536,1.552,0.000,0.000,0.000,0.206,0.132,0.140,0.478,0.000,0.000,0.000,0.000,0.342,0.346,0.346,1.035,-0.602,-0.378,-0.416,0.462,7.3,13.5,14.1,1.5,0.5,708.592,676.465,689.165,2074.222,-0.126,0.000,-0.011,-0.137,708.466,676.465,689.154,2074.085,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.357,902.671,903.346,2713.374,1045.157,479.055,550.010,2074.222
@,27/05/18,00:03:00,224.0,224.3,224.1,388.3,388.1,388.2,49.94,49.94,49.94,1.608,1.621,1.627,0.000,0.000,0.000,0.206,0.136,0.140,0.482,0.000,0.000,0.000,0.000,0.363,0.367,0.363,1.093,-0.557,-0.358,-0.387,0.442,3.5,15.2,5.1,1.6,0.5,708.596,676.467,689.167,2074.230,-0.126,0.000,-0.011,-0.137,708.470,676.467,689.156,2074.093,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.363,902.677,903.352,2713.392,1045.157,479.055,550.018,2074.230
@,27/05/18,00:04:00,224.2,224.6,224.3,388.8,388.4,388.4,49.94,49.94,49.94,1.614,1.643,1.590,0.000,0.000,0.000,0.206,0.132,0.144,0.482,0.000,0.000,0.000,0.000,0.363,0.367,0.359,1.089,-0.565,-0.364,-0.393,0.443,4.6,17.1,3.6,1.6,0.5,708.599,676.469,689.170,2074.238,-0.126,0.000,-0.011,-0.137,708.473,676.469,689.159,2074.101,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.369,902.683,903.358,2713.410,1045.157,479.055,550.026,2074.238
@,27/05/18,00:05:00,224.9,225.2,224.9,389.8,389.6,389.7,49.94,49.94,49.95,1.524,1.552,1.520,0.000,0.000,0.000,0.206,0.132,0.144,0.482,0.000,0.000,0.000,0.000,0.346,0.350,0.346,1.043,-0.602,-0.373,-0.411,0.462,5.4,17.0,5.4,1.5,0.5,708.603,676.471,689.172,2074.246,-0.126,0.000,-0.011,-0.137,708.477,676.471,689.161,2074.109,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.375,902.689,903.364,2713.428,1045.157,479.055,550.034,2074.246
@,27/05/18,00:06:00,225.1,225.4,225.2,390.4,389.8,390.1,49.92,49.92,49.93,1.665,1.650,1.630,0.000,0.000,0.000,0.206,0.132,0.144,0.482,0.000,0.000,0.000,0.000,0.375,0.375,0.367,1.117,-0.559,-0.362,-0.389,0.432,2.5,19.0,0.9,1.6,0.5,708.606,676.474,689.174,2074.254,-0.126,0.000,-0.011,-0.137,708.480,676.474,689.163,2074.117,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.381,902.696,903.370,2713.447,1045.157,479.055,550.042,2074.254
@,27/05/18,00:07:00,225.0,225.3,225.0,390.2,389.8,389.8,49.94,49.93,49.94,1.551,1.581,1.548,0.000,0.000,0.000,0.206,0.132,0.144,0.482,0.000,0.000,0.000,0.000,0.346,0.359,0.355,1.060,-0.587,-0.353,-0.406,0.455,2.5,18.6,5.5,1.6,0.5,708.610,676.476,689.177,2074.263,-0.126,0.000,-0.011,-0.137,708.484,676.476,689.166,2074.126,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.387,902.702,903.376,2713.465,1045.157,479.055,550.051,2074.263
@,27/05/18,00:08:00,224.2,224.6,224.3,388.8,388.5,388.4,49.94,49.94,49.94,1.534,1.573,1.548,0.000,0.000,0.000,0.202,0.136,0.144,0.482,0.000,0.000,0.000,0.000,0.342,0.350,0.346,1.039,-0.608,-0.378,-0.419,0.464,2.5,18.3,15.9,1.6,0.5,708.613,676.478,689.179,2074.270,-0.126,0.000,-0.011,-0.137,708.487,676.478,689.168,2074.133,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.392,902.708,903.382,2713.482,1045.157,479.055,550.058,2074.270
@,27/05/18,00:09:00,222.7,223.1,222.9,386.3,386.0,385.8,49.98,49.97,49.97,1.605,1.615,1.585,0.000,0.000,0.000,0.202,0.132,0.140,0.474,0.000,0.000,0.000,0.000,0.355,0.359,0.351,1.064,-0.574,-0.369,-0.406,0.446,6.9,16.0,10.8,1.6,0.5,708.616,676.480,689.182,2074.278,-0.126,0.000,-0.011,-0.137,708.490,676.480,689.171,2074.141,485.220,510.225,484.065,1479.510,-0.016,0.000,-0.445,-0.461,485.236,510.225,484.510,1479.971,907.398,902.714,903.388,2713.500,1045.157,479.055,550.066,2074.278
